
============================================================
Architecture Invariance Experiment
Architecture: lstm
Output: results/lstm
Device: cpu
============================================================

Model parameters: 802,688
step     0 | train 4.1889 | val 4.1930 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 0.00e+00 | 7.5s
step    50 | train 3.3506 | val 3.3848 | crystal 99.6% | order [1, 2, 3, 4, 5, 0] | lr 5.00e-04 | 48.1s
step   100 | train 3.3072 | val 3.3481 | crystal 97.7% | order [5, 2, 3, 4, 1, 0] | lr 1.00e-03 | 89.2s
step   150 | train 3.1784 | val 3.1909 | crystal 98.4% | order [4, 5, 2, 3, 1, 0] | lr 1.00e-03 | 130.7s
step   200 | train 2.7421 | val 2.7236 | crystal 99.5% | order [2, 3, 4, 5, 1, 0] | lr 9.99e-04 | 170.4s
step   250 | train 2.4381 | val 2.4310 | crystal 99.6% | order [2, 3, 4, 5, 1, 0] | lr 9.98e-04 | 211.2s
step   300 | train 2.2592 | val 2.2617 | crystal 99.7% | order [2, 3, 4, 5, 0, 1] | lr 9.96e-04 | 252.6s
step   350 | train 2.1354 | val 2.1646 | crystal 99.7% | order [2, 3, 4, 5, 0, 1] | lr 9.94e-04 | 293.5s
step   400 | train 2.0216 | val 2.0623 | crystal 99.7% | order [2, 3, 4, 5, 0, 1] | lr 9.92e-04 | 334.7s
step   450 | train 1.9298 | val 2.0153 | crystal 99.9% | order [1, 2, 3, 4, 5, 0] | lr 9.89e-04 | 376.1s
step   500 | train 1.8518 | val 1.9384 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.85e-04 | 416.9s
step   550 | train 1.8041 | val 1.8878 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.81e-04 | 457.6s
step   600 | train 1.7151 | val 1.8656 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.77e-04 | 498.6s
step   650 | train 1.6787 | val 1.8214 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.72e-04 | 540.2s
step   700 | train 1.6254 | val 1.7859 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.67e-04 | 580.6s
step   750 | train 1.6108 | val 1.7774 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.61e-04 | 621.7s
step   800 | train 1.5915 | val 1.7381 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.55e-04 | 662.7s
step   850 | train 1.5581 | val 1.7334 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.49e-04 | 702.2s
step   900 | train 1.5477 | val 1.6832 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.42e-04 | 743.1s
step   950 | train 1.5173 | val 1.6818 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.35e-04 | 783.3s
step  1000 | train 1.5017 | val 1.6753 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.27e-04 | 823.7s
step  1050 | train 1.4956 | val 1.6770 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.19e-04 | 864.8s
step  1100 | train 1.4711 | val 1.6750 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.11e-04 | 904.8s
step  1150 | train 1.4720 | val 1.6568 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.02e-04 | 945.8s
step  1200 | train 1.4577 | val 1.6410 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 8.93e-04 | 986.4s
step  1250 | train 1.4441 | val 1.6211 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 8.83e-04 | 1027.1s
step  1300 | train 1.4425 | val 1.6273 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 8.73e-04 | 1065.9s
