
============================================================
Architecture Invariance Experiment
Architecture: mlp
Output: results/mlp
Device: cpu
============================================================

Model parameters: 1,087,360
step     0 | train 4.1919 | val 4.1896 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 0.00e+00 | 3.2s
step    50 | train 2.9153 | val 2.9396 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.00e-04 | 16.2s
step   100 | train 2.3609 | val 2.3640 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 1.00e-03 | 28.8s
step   150 | train 2.1835 | val 2.2280 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 1.00e-03 | 41.4s
step   200 | train 2.0919 | val 2.1382 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.99e-04 | 53.8s
step   250 | train 2.0237 | val 2.0920 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.98e-04 | 66.4s
step   300 | train 1.9466 | val 2.0330 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.96e-04 | 79.0s
step   350 | train 1.8979 | val 1.9840 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.94e-04 | 91.7s
step   400 | train 1.8461 | val 1.9508 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.92e-04 | 104.6s
step   450 | train 1.7981 | val 1.9335 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.89e-04 | 117.8s
step   500 | train 1.7627 | val 1.9125 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.85e-04 | 130.8s
step   550 | train 1.7211 | val 1.8664 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.81e-04 | 143.7s
step   600 | train 1.7019 | val 1.8565 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.77e-04 | 156.8s
step   650 | train 1.6689 | val 1.8506 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.72e-04 | 169.6s
step   700 | train 1.6347 | val 1.8286 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.67e-04 | 182.3s
step   750 | train 1.6365 | val 1.7987 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.61e-04 | 195.3s
step   800 | train 1.6043 | val 1.7933 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.55e-04 | 208.3s
step   850 | train 1.5760 | val 1.7827 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.49e-04 | 221.4s
step   900 | train 1.5710 | val 1.7608 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.42e-04 | 234.0s
step   950 | train 1.5538 | val 1.7690 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.35e-04 | 247.0s
step  1000 | train 1.5400 | val 1.7397 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.27e-04 | 259.8s
step  1050 | train 1.5318 | val 1.7307 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.19e-04 | 272.7s
step  1100 | train 1.5173 | val 1.7601 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 9.11e-04 | 285.6s
